N  np  isd iz0    thetainf           qinf
1 5001  0   0   9.66766111e-01   1.05470546e-01
        s0            us, m/s            q_s            theta_s        rho_w, kg/m^3      nu, m^2/s
  1.00000000e-09   4.00000000e+00   4.00000000e-04   2.00000000e-01   1.02000000e+03   1.56800000e-05
      pi0              pi1              pi2              pi3              pi5              pi6
  2.50000000e+00   8.27261483e-02   6.83211225e-01   2.70483712e-05   2.30952591e-05   6.34729156e+00
      pi7              pi8              pi9              pi12             pi13             pi17
  1.32279714e+00   5.69105691e-04   1.33151534e-02   2.65503332e-06   3.06250000e+00   2.70126199e-02
     zwt, m            z0, m           z_q, m            z1, m            h, m           g, m/s^2
  5.00000000e+00   2.44897959e-02   2.90364307e-07   9.79591837e-02   1.00000000e+00   9.80000000e+00
      Ceps1            Ceps2            Ceps3             alp              alpe            alpeps
  1.44000000e+00   1.92000000e+00   1.00000000e+00   3.00000000e-01   1.00000000e+00   7.70000000e-01
      alpv              alpT            sig0t             Cb               kp              u1log
  1.00000000e+00   1.00000000e+00   6.70000000e-01   1.80000000e+00   4.32449982e-01   3.20567561e+00
    Rd, J/kg/K       Rv, J/kg/K       cw, J/kg/K      cpd, J/kg/K          kd              sigma
  2.87000000e+02   4.61510000e+02   4.21800000e+03   1.00500000e+03   2.85714286e-01   8.66949654e+02
      T0, K            P0, Pa       rho_d0, kg/m^3     D0, m^2/s       K0, J/m/s/K        pvs0, Pa
  3.00000000e+02   1.01300000e+05   1.17653891e+00   2.59664363e-05   2.62160000e-02   3.56710931e+03
        q0            l0, J/kg         Rmin, m          Rmax, m           r0, m           a0, m/s
  2.18981665e-02   2.45000000e+06   6.00000000e-05   6.00000000e-05   6.00000000e-05   3.30904593e-01
  1.87377580e+01   1.88220937e+01   9.99999999e-01   3.34270888e+00   4.45258974e-02   1.17918720e-01  -4.22676381e-02
  1.87777541e+01   1.88266845e+01   9.99999999e-01   3.34291352e+00   4.46282864e-02   1.17666974e-01  -4.21811290e-02
  1.88177502e+01   1.88312650e+01   9.99999999e-01   3.34311818e+00   4.47306568e-02   1.17416306e-01  -4.20949847e-02
  1.88577463e+01   1.88358353e+01   9.99999999e-01   3.34332284e+00   4.48330087e-02   1.17166709e-01  -4.20092027e-02
  1.88977424e+01   1.88403953e+01   9.99999999e-01   3.34352752e+00   4.49353419e-02   1.16918177e-01  -4.19237810e-02
  1.89377384e+01   1.88449452e+01   9.99999999e-01   3.34373220e+00   4.50376564e-02   1.16670702e-01  -4.18387171e-02
  1.89777345e+01   1.88494850e+01   9.99999999e-01   3.34393689e+00   4.51399521e-02   1.16424278e-01  -4.17540087e-02
  1.90177306e+01   1.88540147e+01   9.99999999e-01   3.34414160e+00   4.52422290e-02   1.16178898e-01  -4.16696538e-02
  1.90577267e+01   1.88585344e+01   9.99999999e-01   3.34434631e+00   4.53444870e-02   1.15934556e-01  -4.15856500e-02
  1.90977228e+01   1.88630441e+01   9.99999999e-01   3.34455103e+00   4.54467260e-02   1.15691245e-01  -4.15019951e-02
  1.91377189e+01   1.88675438e+01   9.99999999e-01   3.34475576e+00   4.55489460e-02   1.15448959e-01  -4.14186870e-02
  1.91777149e+01   1.88720337e+01   9.99999999e-01   3.34496049e+00   4.56511469e-02   1.15207691e-01  -4.13357235e-02
  1.92177110e+01   1.88765136e+01   9.99999999e-01   3.34516524e+00   4.57533287e-02   1.14967434e-01  -4.12531024e-02
  1.92577071e+01   1.88809838e+01   9.99999999e-01   3.34536999e+00   4.58554912e-02   1.14728184e-01  -4.11708217e-02
  1.92977032e+01   1.88854441e+01   9.99999999e-01   3.34557475e+00   4.59576345e-02   1.14489932e-01  -4.10888791e-02
  1.93376993e+01   1.88898947e+01   9.99999999e-01   3.34577951e+00   4.60597584e-02   1.14252673e-01  -4.10072727e-02
  1.93776953e+01   1.88943356e+01   9.99999999e-01   3.34598429e+00   4.61618630e-02   1.14016402e-01  -4.09260002e-02
  1.94176914e+01   1.88987669e+01   9.99999999e-01   3.34618907e+00   4.62639481e-02   1.13781110e-01  -4.08450598e-02
  1.94576875e+01   1.89031885e+01   9.99999999e-01   3.34639386e+00   4.63660136e-02   1.13546794e-01  -4.07644492e-02
  1.94976836e+01   1.89076006e+01   9.99999999e-01   3.34659865e+00   4.64680597e-02   1.13313446e-01  -4.06841666e-02
  1.95376797e+01   1.89120031e+01   9.99999999e-01   3.34680345e+00   4.65700860e-02   1.13081061e-01  -4.06042099e-02
  1.95776758e+01   1.89163961e+01   9.99999999e-01   3.34700826e+00   4.66720927e-02   1.12849633e-01  -4.05245770e-02
  1.96176718e+01   1.89207797e+01   9.99999999e-01   3.34721307e+00   4.67740796e-02   1.12619156e-01  -4.04452661e-02
  1.96576679e+01   1.89251538e+01   9.99999999e-01   3.34741789e+00   4.68760467e-02   1.12389623e-01  -4.03662751e-02
  1.96976640e+01   1.89295185e+01   9.99999999e-01   3.34762271e+00   4.69779940e-02   1.12161030e-01  -4.02876021e-02
  1.97376601e+01   1.89338739e+01   9.99999999e-01   3.34782754e+00   4.70799213e-02   1.11933371e-01  -4.02092452e-02
  1.97776562e+01   1.89382200e+01   9.99999999e-01   3.34803238e+00   4.71818286e-02   1.11706640e-01  -4.01312025e-02
  1.98176522e+01   1.89425568e+01   9.99999999e-01   3.34823722e+00   4.72837159e-02   1.11480830e-01  -4.00534721e-02
  1.98576483e+01   1.89468844e+01   9.99999999e-01   3.34844206e+00   4.73855831e-02   1.11255938e-01  -3.99760520e-02
  1.98976444e+01   1.89512028e+01   9.99999999e-01   3.34864691e+00   4.74874301e-02   1.11031956e-01  -3.98989405e-02
  1.99376405e+01   1.89555120e+01   9.99999999e-01   3.34885177e+00   4.75892570e-02   1.10808881e-01  -3.98221356e-02
  1.99776366e+01   1.89598121e+01   9.99999999e-01   3.34905662e+00   4.76910635e-02   1.10586705e-01  -3.97456356e-02
  2.00176327e+01   1.89641032e+01   9.99999999e-01   3.34926149e+00   4.77928497e-02   1.10365424e-01  -3.96694385e-02
  2.00576287e+01   1.89683852e+01   9.99999999e-01   3.34946635e+00   4.78946155e-02   1.10145033e-01  -3.95935427e-02
  2.00976248e+01   1.89726581e+01   9.99999999e-01   3.34967122e+00   4.79963609e-02   1.09925526e-01  -3.95179462e-02
  2.01376209e+01   1.89769221e+01   9.99999999e-01   3.34987610e+00   4.80980858e-02   1.09706898e-01  -3.94426474e-02
  2.01776170e+01   1.89811772e+01   9.99999999e-01   3.35008097e+00   4.81997902e-02   1.09489143e-01  -3.93676444e-02
  2.02176131e+01   1.89854233e+01   9.99999999e-01   3.35028585e+00   4.83014739e-02   1.09272256e-01  -3.92929355e-02
  2.02576091e+01   1.89896606e+01   9.99999999e-01   3.35049073e+00   4.84031370e-02   1.09056233e-01  -3.92185190e-02
  2.02976052e+01   1.89938891e+01   9.99999999e-01   3.35069562e+00   4.85047793e-02   1.08841068e-01  -3.91443932e-02
  2.03376013e+01   1.89981088e+01   9.99999999e-01   3.35090051e+00   4.86064009e-02   1.08626756e-01  -3.90705562e-02
  2.03775974e+01   1.90023197e+01   9.99999999e-01   3.35110540e+00   4.87080017e-02   1.08413291e-01  -3.89970065e-02
  2.04175935e+01   1.90065218e+01   9.99999999e-01   3.35131029e+00   4.88095815e-02   1.08200670e-01  -3.89237423e-02
  2.04575896e+01   1.90107153e+01   9.99999999e-01   3.35151519e+00   4.89111405e-02   1.07988887e-01  -3.88507620e-02
  2.04975856e+01   1.90149002e+01   9.99999999e-01   3.35172008e+00   4.90126785e-02   1.07777937e-01  -3.87780640e-02
  2.05375817e+01   1.90190764e+01   9.99999999e-01   3.35192498e+00   4.91141954e-02   1.07567815e-01  -3.87056465e-02
  2.05775778e+01   1.90232440e+01   9.99999999e-01   3.35212988e+00   4.92156912e-02   1.07358517e-01  -3.86335079e-02
  2.06175739e+01   1.90274030e+01   9.99999999e-01   3.35233479e+00   4.93171659e-02   1.07150037e-01  -3.85616467e-02
  2.06575700e+01   1.90315536e+01   9.99999999e-01   3.35253969e+00   4.94186193e-02   1.06942371e-01  -3.84900611e-02
  2.06975660e+01   1.90356956e+01   9.99999999e-01   3.35274459e+00   4.95200516e-02   1.06735514e-01  -3.84187497e-02
  2.07375621e+01   1.90398292e+01   9.99999999e-01   3.35294950e+00   4.96214625e-02   1.06529461e-01  -3.83477108e-02
  2.07775582e+01   1.90439544e+01   9.99999999e-01   3.35315440e+00   4.97228521e-02   1.06324208e-01  -3.82769429e-02
  2.08175543e+01   1.90480711e+01   9.99999999e-01   3.35335931e+00   4.98242202e-02   1.06119751e-01  -3.82064444e-02
  2.08575504e+01   1.90521796e+01   9.99999999e-01   3.35356422e+00   4.99255669e-02   1.05916083e-01  -3.81362137e-02
  2.08975464e+01   1.90562797e+01   9.99999999e-01   3.35376912e+00   5.00268921e-02   1.05713202e-01  -3.80662494e-02
  2.09375425e+01   1.90603715e+01   9.99999999e-01   3.35397403e+00   5.01281957e-02   1.05511102e-01  -3.79965499e-02
  2.09775386e+01   1.90644550e+01   9.99999999e-01   3.35417894e+00   5.02294778e-02   1.05309779e-01  -3.79271137e-02
  2.10175347e+01   1.90685303e+01   9.99999999e-01   3.35438385e+00   5.03307381e-02   1.05109229e-01  -3.78579392e-02
  2.10575308e+01   1.90725974e+01   9.99999999e-01   3.35458875e+00   5.04319768e-02   1.04909447e-01  -3.77890251e-02
  2.10975269e+01   1.90766564e+01   9.99999999e-01   3.35479366e+00   5.05331936e-02   1.04710428e-01  -3.77203698e-02
  2.11375229e+01   1.90807072e+01   9.99999999e-01   3.35499856e+00   5.06343887e-02   1.04512169e-01  -3.76519718e-02
  2.11775190e+01   1.90847499e+01   9.99999999e-01   3.35520347e+00   5.07355619e-02   1.04314665e-01  -3.75838298e-02
  2.12175151e+01   1.90887845e+01   9.99999999e-01   3.35540837e+00   5.08367132e-02   1.04117912e-01  -3.75159422e-02
  2.12575112e+01   1.90928111e+01   9.99999999e-01   3.35561327e+00   5.09378426e-02   1.03921905e-01  -3.74483077e-02
  2.12975073e+01   1.90968297e+01   9.99999999e-01   3.35581818e+00   5.10389499e-02   1.03726640e-01  -3.73809247e-02
  2.13375033e+01   1.91008403e+01   9.99999999e-01   3.35602307e+00   5.11400351e-02   1.03532114e-01  -3.73137920e-02
  2.13774994e+01   1.91048429e+01   9.99999999e-01   3.35622797e+00   5.12410983e-02   1.03338321e-01  -3.72469081e-02
  2.14174955e+01   1.91088377e+01   9.99999999e-01   3.35643287e+00   5.13421393e-02   1.03145259e-01  -3.71802715e-02
  2.14574916e+01   1.91128245e+01   1.00000000e+00   3.35663776e+00   5.14431581e-02   1.02952922e-01  -3.71138810e-02
  2.14974877e+01   1.91168035e+01   1.00000000e+00   3.35684265e+00   5.15441546e-02   1.02761307e-01  -3.70477352e-02
  2.15374838e+01   1.91207746e+01   1.00000000e+00   3.35704754e+00   5.16451289e-02   1.02570409e-01  -3.69818326e-02
  2.15774798e+01   1.91247380e+01   1.00000000e+00   3.35725243e+00   5.17460808e-02   1.02380225e-01  -3.69161720e-02
  2.16174759e+01   1.91286936e+01   1.00000000e+00   3.35745732e+00   5.18470103e-02   1.02190751e-01  -3.68507520e-02
  2.16574720e+01   1.91326414e+01   1.00000000e+00   3.35766220e+00   5.19479173e-02   1.02001983e-01  -3.67855712e-02
  2.16974681e+01   1.91365815e+01   1.00000000e+00   3.35786708e+00   5.20488019e-02   1.01813916e-01  -3.67206285e-02
  2.17374642e+01   1.91405139e+01   1.00000000e+00   3.35807195e+00   5.21496639e-02   1.01626547e-01  -3.66559224e-02
  2.17774602e+01   1.91444387e+01   1.00000000e+00   3.35827683e+00   5.22505034e-02   1.01439873e-01  -3.65914516e-02
  2.18174563e+01   1.91483558e+01   1.00000000e+00   3.35848170e+00   5.23513202e-02   1.01253888e-01  -3.65272149e-02
  2.18574524e+01   1.91522654e+01   1.00000000e+00   3.35868656e+00   5.24521144e-02   1.01068590e-01  -3.64632109e-02
  2.18974485e+01   1.91561673e+01   1.00000000e+00   3.35889143e+00   5.25528858e-02   1.00883975e-01  -3.63994385e-02
  2.19374446e+01   1.91600618e+01   1.00000000e+00   3.35909629e+00   5.26536345e-02   1.00700039e-01  -3.63358963e-02
  2.19774407e+01   1.91639487e+01   1.00000000e+00   3.35930114e+00   5.27543603e-02   1.00516778e-01  -3.62725831e-02
  2.20174367e+01   1.91678281e+01   1.00000000e+00   3.35950599e+00   5.28550633e-02   1.00334188e-01  -3.62094976e-02
  2.20574328e+01   1.91717000e+01   1.00000000e+00   3.35971084e+00   5.29557434e-02   1.00152266e-01  -3.61466386e-02
  2.20974289e+01   1.91755646e+01   1.00000000e+00   3.35991568e+00   5.30564005e-02   9.99710086e-02  -3.60840050e-02
  2.21374250e+01   1.91794217e+01   1.00000000e+00   3.36012052e+00   5.31570347e-02   9.97904116e-02  -3.60215953e-02
  2.21774211e+01   1.91832714e+01   1.00000000e+00   3.36032536e+00   5.32576458e-02   9.96104717e-02  -3.59594086e-02
  2.22174171e+01   1.91871138e+01   1.00000000e+00   3.36053019e+00   5.33582338e-02   9.94311852e-02  -3.58974435e-02
  2.22574132e+01   1.91909488e+01   1.00000000e+00   3.36073501e+00   5.34587987e-02   9.92525486e-02  -3.58356988e-02
  2.22974093e+01   1.91947766e+01   1.00000000e+00   3.36093983e+00   5.35593404e-02   9.90745584e-02  -3.57741734e-02
  2.23374054e+01   1.91985971e+01   1.00000000e+00   3.36114464e+00   5.36598590e-02   9.88972112e-02  -3.57128662e-02
  2.23774015e+01   1.92024103e+01   1.00000000e+00   3.36134945e+00   5.37603542e-02   9.87205034e-02  -3.56517758e-02
  2.24173976e+01   1.92062163e+01   1.00000000e+00   3.36155426e+00   5.38608262e-02   9.85444317e-02  -3.55909013e-02
  2.24573936e+01   1.92100151e+01   1.00000000e+00   3.36175905e+00   5.39612748e-02   9.83689926e-02  -3.55302414e-02
  2.24973897e+01   1.92138068e+01   1.00000000e+00   3.36196385e+00   5.40617000e-02   9.81941828e-02  -3.54697949e-02
  2.25373858e+01   1.92175913e+01   1.00000000e+00   3.36216863e+00   5.41621019e-02   9.80199988e-02  -3.54095608e-02
  2.25773819e+01   1.92213687e+01   1.00000000e+00   3.36237341e+00   5.42624802e-02   9.78464374e-02  -3.53495380e-02
  2.26173780e+01   1.92251390e+01   1.00000000e+00   3.36257819e+00   5.43628350e-02   9.76734952e-02  -3.52897253e-02
  2.26573740e+01   1.92289022e+01   1.00000000e+00   3.36278296e+00   5.44631663e-02   9.75011690e-02  -3.52301215e-02
  2.26973701e+01   1.92326584e+01   1.00000000e+00   3.36298772e+00   5.45634739e-02   9.73294554e-02  -3.51707257e-02
  2.27373662e+01   1.92364076e+01   1.00000000e+00   3.36319248e+00   5.46637580e-02   9.71583513e-02  -3.51115367e-02
  2.27773623e+01   1.92401497e+01   1.00000000e+00   3.36339723e+00   5.47640183e-02   9.69878534e-02  -3.50525534e-02
  2.28173584e+01   1.92438850e+01   1.00000000e+00   3.36360197e+00   5.48642549e-02   9.68179585e-02  -3.49937747e-02
  2.28573544e+01   1.92476132e+01   1.00000000e+00   3.36380670e+00   5.49644678e-02   9.66486634e-02  -3.49351996e-02
  2.28973505e+01   1.92513346e+01   1.00000000e+00   3.36401143e+00   5.50646568e-02   9.64799650e-02  -3.48768271e-02
  2.29373466e+01   1.92550491e+01   1.00000000e+00   3.36421615e+00   5.51648220e-02   9.63118602e-02  -3.48186559e-02
  2.29773427e+01   1.92587567e+01   1.00000000e+00   3.36442087e+00   5.52649633e-02   9.61443458e-02  -3.47606852e-02
  2.30173388e+01   1.92624574e+01   1.00000000e+00   3.36462558e+00   5.53650807e-02   9.59774188e-02  -3.47029138e-02
  2.30573349e+01   1.92661513e+01   1.00000000e+00   3.36483028e+00   5.54651741e-02   9.58110761e-02  -3.46453408e-02
  2.30973309e+01   1.92698385e+01   1.00000000e+00   3.36503497e+00   5.55652435e-02   9.56453146e-02  -3.45879651e-02
  2.31373270e+01   1.92735189e+01   1.00000000e+00   3.36523965e+00   5.56652888e-02   9.54801313e-02  -3.45307856e-02
  2.31773231e+01   1.92771925e+01   1.00000000e+00   3.36544433e+00   5.57653101e-02   9.53155233e-02  -3.44738014e-02
  2.32173192e+01   1.92808594e+01   1.00000000e+00   3.36564900e+00   5.58653072e-02   9.51514874e-02  -3.44170115e-02
  2.32573153e+01   1.92845196e+01   1.00000000e+00   3.36585366e+00   5.59652802e-02   9.49880209e-02  -3.43604149e-02
  2.32973113e+01   1.92881731e+01   1.00000000e+00   3.36605831e+00   5.60652289e-02   9.48251206e-02  -3.43040105e-02
  2.33373074e+01   1.92918199e+01   1.00000000e+00   3.36626296e+00   5.61651534e-02   9.46627838e-02  -3.42477974e-02
  2.33773035e+01   1.92954602e+01   1.00000000e+00   3.36646759e+00   5.62650536e-02   9.45010075e-02  -3.41917746e-02
  2.34172996e+01   1.92990938e+01   1.00000000e+00   3.36667222e+00   5.63649295e-02   9.43397888e-02  -3.41359411e-02
  2.34572957e+01   1.93027208e+01   1.00000000e+00   3.36687684e+00   5.64647811e-02   9.41791249e-02  -3.40802960e-02
  2.34972918e+01   1.93063413e+01   1.00000000e+00   3.36708145e+00   5.65646082e-02   9.40190129e-02  -3.40248383e-02
  2.35372878e+01   1.93099552e+01   1.00000000e+00   3.36728605e+00   5.66644109e-02   9.38594499e-02  -3.39695671e-02
  2.35772839e+01   1.93135626e+01   1.00000000e+00   3.36749064e+00   5.67641890e-02   9.37004333e-02  -3.39144814e-02
  2.36172800e+01   1.93171635e+01   1.00000000e+00   3.36769522e+00   5.68639427e-02   9.35419602e-02  -3.38595802e-02
  2.36572761e+01   1.93207580e+01   1.00000000e+00   3.36789980e+00   5.69636718e-02   9.33840278e-02  -3.38048627e-02
  2.36972722e+01   1.93243460e+01   1.00000000e+00   3.36810436e+00   5.70633764e-02   9.32266334e-02  -3.37503279e-02
  2.37372682e+01   1.93279275e+01   1.00000000e+00   3.36830891e+00   5.71630563e-02   9.30697743e-02  -3.36959749e-02
  2.37772643e+01   1.93315027e+01   1.00000000e+00   3.36851346e+00   5.72627115e-02   9.29134477e-02  -3.36418028e-02
  2.38172604e+01   1.93350714e+01   1.00000000e+00   3.36871799e+00   5.73623420e-02   9.27576510e-02  -3.35878107e-02
  2.38572565e+01   1.93386339e+01   1.00000000e+00   3.36892252e+00   5.74619478e-02   9.26023815e-02  -3.35339976e-02
  2.38972526e+01   1.93421899e+01   1.00000000e+00   3.36912703e+00   5.75615288e-02   9.24476365e-02  -3.34803627e-02
  2.39372487e+01   1.93457397e+01   1.00000000e+00   3.36933154e+00   5.76610849e-02   9.22934134e-02  -3.34269050e-02
  2.39772447e+01   1.93492831e+01   1.00000000e+00   3.36953603e+00   5.77606162e-02   9.21397096e-02  -3.33736238e-02
  2.40172408e+01   1.93528203e+01   1.00000000e+00   3.36974052e+00   5.78601227e-02   9.19865224e-02  -3.33205181e-02
  2.40572369e+01   1.93563512e+01   1.00000000e+00   3.36994499e+00   5.79596042e-02   9.18338493e-02  -3.32675870e-02
  2.40972330e+01   1.93598759e+01   1.00000000e+00   3.37014946e+00   5.80590607e-02   9.16816877e-02  -3.32148297e-02
  2.41372291e+01   1.93633943e+01   1.00000000e+00   3.37035391e+00   5.81584923e-02   9.15300351e-02  -3.31622453e-02
  2.41772251e+01   1.93669066e+01   1.00000000e+00   3.37055835e+00   5.82578988e-02   9.13788889e-02  -3.31098330e-02
  2.42172212e+01   1.93704127e+01   1.00000000e+00   3.37076279e+00   5.83572802e-02   9.12282467e-02  -3.30575919e-02
  2.42572173e+01   1.93739126e+01   1.00000000e+00   3.37096721e+00   5.84566365e-02   9.10781058e-02  -3.30055212e-02
  2.42972134e+01   1.93774064e+01   1.00000000e+00   3.37117162e+00   5.85559677e-02   9.09284639e-02  -3.29536200e-02
  2.43372095e+01   1.93808941e+01   1.00000000e+00   3.37137601e+00   5.86552737e-02   9.07793184e-02  -3.29018875e-02
  2.43772056e+01   1.93843757e+01   1.00000000e+00   3.37158040e+00   5.87545545e-02   9.06306669e-02  -3.28503229e-02
  2.44172016e+01   1.93878513e+01   1.00000000e+00   3.37178478e+00   5.88538101e-02   9.04825069e-02  -3.27989253e-02
  2.44571977e+01   1.93913207e+01   1.00000000e+00   3.37198914e+00   5.89530403e-02   9.03348361e-02  -3.27476940e-02
  2.44971938e+01   1.93947842e+01   1.00000000e+00   3.37219350e+00   5.90522453e-02   9.01876521e-02  -3.26966280e-02
  2.45371899e+01   1.93982416e+01   1.00000000e+00   3.37239784e+00   5.91514249e-02   9.00409524e-02  -3.26457267e-02
  2.45771860e+01   1.94016931e+01   1.00000000e+00   3.37260217e+00   5.92505791e-02   8.98947347e-02  -3.25949892e-02
  2.46171820e+01   1.94051386e+01   1.00000000e+00   3.37280648e+00   5.93497079e-02   8.97489966e-02  -3.25444148e-02
  2.46571781e+01   1.94085781e+01   1.00000000e+00   3.37301079e+00   5.94488112e-02   8.96037357e-02  -3.24940025e-02
  2.46971742e+01   1.94120117e+01   1.00000000e+00   3.37321508e+00   5.95478891e-02   8.94589499e-02  -3.24437517e-02
  2.47371703e+01   1.94154394e+01   1.00000000e+00   3.37341936e+00   5.96469414e-02   8.93146366e-02  -3.23936616e-02
  2.47771664e+01   1.94188612e+01   1.00000000e+00   3.37362363e+00   5.97459682e-02   8.91707937e-02  -3.23437314e-02
  2.48171624e+01   1.94222771e+01   1.00000000e+00   3.37382789e+00   5.98449694e-02   8.90274189e-02  -3.22939602e-02
  2.48571585e+01   1.94256872e+01   1.00000000e+00   3.37403213e+00   5.99439449e-02   8.88845098e-02  -3.22443474e-02
  2.48971546e+01   1.94290914e+01   1.00000000e+00   3.37423637e+00   6.00428948e-02   8.87420643e-02  -3.21948923e-02
  2.49371507e+01   1.94324898e+01   1.00000000e+00   3.37444058e+00   6.01418191e-02   8.86000800e-02  -3.21455939e-02
  2.49771468e+01   1.94358825e+01   1.00000000e+00   3.37464479e+00   6.02407176e-02   8.84585549e-02  -3.20964516e-02
  2.50171429e+01   1.94392693e+01   1.00000000e+00   3.37484898e+00   6.03395903e-02   8.83174866e-02  -3.20474647e-02
  2.50571389e+01   1.94426504e+01   1.00000000e+00   3.37505316e+00   6.04384373e-02   8.81768730e-02  -3.19986324e-02
  2.50971350e+01   1.94460257e+01   1.00000000e+00   3.37525733e+00   6.05372584e-02   8.80367118e-02  -3.19499539e-02
  2.51371311e+01   1.94493953e+01   1.00000000e+00   3.37546148e+00   6.06360537e-02   8.78970010e-02  -3.19014286e-02
  2.51771272e+01   1.94527593e+01   1.00000000e+00   3.37566563e+00   6.07348231e-02   8.77577384e-02  -3.18530557e-02
  2.52171233e+01   1.94561175e+01   1.00000000e+00   3.37586975e+00   6.08335666e-02   8.76189217e-02  -3.18048344e-02
  2.52571193e+01   1.94594700e+01   1.00000000e+00   3.37607387e+00   6.09322841e-02   8.74805490e-02  -3.17567642e-02
  2.52971154e+01   1.94628169e+01   1.00000000e+00   3.37627797e+00   6.10309757e-02   8.73426180e-02  -3.17088441e-02
  2.53371115e+01   1.94661582e+01   1.00000000e+00   3.37648205e+00   6.11296413e-02   8.72051267e-02  -3.16610737e-02
  2.53771076e+01   1.94694939e+01   1.00000000e+00   3.37668612e+00   6.12282808e-02   8.70680730e-02  -3.16134520e-02
  2.54171037e+01   1.94728240e+01   1.00000000e+00   3.37689018e+00   6.13268942e-02   8.69314549e-02  -3.15659785e-02
  2.54570998e+01   1.94761485e+01   1.00000000e+00   3.37709423e+00   6.14254816e-02   8.67952702e-02  -3.15186524e-02
  2.54970958e+01   1.94794674e+01   1.00000000e+00   3.37729826e+00   6.15240428e-02   8.66595169e-02  -3.14714731e-02
  2.55370919e+01   1.94827808e+01   1.00000000e+00   3.37750228e+00   6.16225778e-02   8.65241930e-02  -3.14244399e-02
  2.55770880e+01   1.94860887e+01   1.00000000e+00   3.37770628e+00   6.17210866e-02   8.63892964e-02  -3.13775520e-02
  2.56170841e+01   1.94893910e+01   1.00000000e+00   3.37791027e+00   6.18195692e-02   8.62548252e-02  -3.13308088e-02
  2.56570802e+01   1.94926879e+01   1.00000000e+00   3.37811424e+00   6.19180256e-02   8.61207773e-02  -3.12842097e-02
  2.56970762e+01   1.94959793e+01   1.00000000e+00   3.37831820e+00   6.20164556e-02   8.59871508e-02  -3.12377539e-02
  2.57370723e+01   1.94992652e+01   1.00000000e+00   3.37852214e+00   6.21148594e-02   8.58539437e-02  -3.11914409e-02
  2.57770684e+01   1.95025457e+01   1.00000000e+00   3.37872607e+00   6.22132368e-02   8.57211540e-02  -3.11452698e-02
  2.58170645e+01   1.95058208e+01   1.00000000e+00   3.37892999e+00   6.23115878e-02   8.55887798e-02  -3.10992401e-02
  2.58570606e+01   1.95090905e+01   1.00000000e+00   3.37913389e+00   6.24099124e-02   8.54568192e-02  -3.10533512e-02
  2.58970567e+01   1.95123548e+01   1.00000000e+00   3.37933777e+00   6.25082105e-02   8.53252702e-02  -3.10076023e-02
  2.59370527e+01   1.95156138e+01   1.00000000e+00   3.37954164e+00   6.26064822e-02   8.51941309e-02  -3.09619929e-02
  2.59770488e+01   1.95188673e+01   1.00000000e+00   3.37974550e+00   6.27047274e-02   8.50633994e-02  -3.09165222e-02
  2.60170449e+01   1.95221156e+01   1.00000000e+00   3.37994934e+00   6.28029461e-02   8.49330738e-02  -3.08711897e-02
  2.60570410e+01   1.95253585e+01   1.00000000e+00   3.38015316e+00   6.29011382e-02   8.48031523e-02  -3.08259947e-02
  2.60970371e+01   1.95285961e+01   1.00000000e+00   3.38035697e+00   6.29993037e-02   8.46736329e-02  -3.07809366e-02
  2.61370331e+01   1.95318284e+01   1.00000000e+00   3.38056076e+00   6.30974426e-02   8.45445139e-02  -3.07360147e-02
  2.61770292e+01   1.95350555e+01   1.00000000e+00   3.38076454e+00   6.31955549e-02   8.44157934e-02  -3.06912285e-02
  2.62170253e+01   1.95382773e+01   1.00000000e+00   3.38096830e+00   6.32936405e-02   8.42874695e-02  -3.06465773e-02
  2.62570214e+01   1.95414939e+01   1.00000000e+00   3.38117205e+00   6.33916994e-02   8.41595405e-02  -3.06020605e-02
  2.62970175e+01   1.95447052e+01   1.00000000e+00   3.38137578e+00   6.34897315e-02   8.40320045e-02  -3.05576775e-02
  2.63370136e+01   1.95479114e+01   1.00000000e+00   3.38157949e+00   6.35877369e-02   8.39048597e-02  -3.05134277e-02
  2.63770096e+01   1.95511124e+01   1.00000000e+00   3.38178319e+00   6.36857155e-02   8.37781044e-02  -3.04693105e-02
  2.64170057e+01   1.95543081e+01   1.00000000e+00   3.38198688e+00   6.37836673e-02   8.36517368e-02  -3.04253253e-02
  2.64570018e+01   1.95574988e+01   1.00000000e+00   3.38219054e+00   6.38815923e-02   8.35257550e-02  -3.03814714e-02
  2.64969979e+01   1.95606843e+01   1.00000000e+00   3.38239419e+00   6.39794904e-02   8.34001574e-02  -3.03377484e-02
  2.65369940e+01   1.95638646e+01   1.00000000e+00   3.38259782e+00   6.40773615e-02   8.32749422e-02  -3.02941555e-02
  2.65769900e+01   1.95670399e+01   1.00000000e+00   3.38280144e+00   6.41752058e-02   8.31501076e-02  -3.02506923e-02
  2.66169861e+01   1.95702100e+01   1.00000000e+00   3.38300504e+00   6.42730231e-02   8.30256520e-02  -3.02073581e-02
  2.66569822e+01   1.95733751e+01   1.00000000e+00   3.38320863e+00   6.43708134e-02   8.29015736e-02  -3.01641524e-02
  2.66969783e+01   1.95765351e+01   1.00000000e+00   3.38341219e+00   6.44685768e-02   8.27778708e-02  -3.01210745e-02
  2.67369744e+01   1.95796901e+01   1.00000000e+00   3.38361574e+00   6.45663130e-02   8.26545418e-02  -3.00781240e-02
  2.67769704e+01   1.95828400e+01   1.00000000e+00   3.38381928e+00   6.46640223e-02   8.25315850e-02  -3.00353003e-02
